Summary,Description,Issue Type,Priority,Component/s,Status
sourcetree doesnt open reinstall windows update,windows update kb source tree stopped launching splashscreen shown app never openned listed task managertried running directly cusersusernameappdatalocalsourcetreeappsourcetreeexe result splashscreen shown app never openned listed task manageralso tried reinstalling sourcetree sourcetreesetupexe happening installer splashcreen shown installer never openneduninstalled app control panel programs features tried install result splashcreen shown installer never opennedremoved sourcetree atlassian folders cusersusernameappdatalocal tried install happened splashcreen shown installer never openned going back cusersusernameappdatalocal folder saw sourcetree folder created files inside including sourcetreeexeso tried run directly cusersusernameappdatalocalsourcetreeappsourcetreeexe result abovethen found folder logs cusersusernameappdatalocalsquirreltempso logs squirrelsetuplog try install sourcetreesetupexe program starting squirrel updater install program starting install writing cusersusernameappdatalocalsquirreltemp program install cusersusernameappdatalocalsourcetree checkforupdateimpl couldnt write staging user id user probably shouldnt get beta anything systemiodirectorynotfoundexception foi possvel localizar uma parte caminho cusersusernameappdatalocalsourcetreepackagesbetaidem systemioerrorwinioerrorint errorcode string maybefullpathem systemiofilestreaminitstring path filemode mode fileaccess access int rights boolean userights fileshare share int buffersize fileoptions options securityattributes secattrs string msgpath boolean bfromproxy boolean uselongpath boolean checkhostem systemiofilestreamctorstring path filemode mode fileaccess access fileshare share int buffersize fileoptions options string msgpath boolean bfromproxy boolean uselongpath boolean checkhostem systemiostreamwritercreatefilestring path boolean append boolean checkhostem systemiostreamwriterctorstring path boolean append encoding encoding int buffersize boolean checkhostem systemiofileinternalwritealltextstring path string contents encoding encoding boolean checkhostem systemiofilewritealltextstring path string contents encoding encodingem squirrelupdatemanagercheckforupdateimplgetorcreatestageduserid checkforupdateimpl failed load local releases starting scratch systemiodirectorynotfoundexception foi possvel localizar uma parte caminho cusersusernameappdatalocalsourcetreepackagesreleasesem systemioerrorwinioerrorint errorcode string maybefullpathem systemiofilestreaminitstring path filemode mode fileaccess access int rights boolean userights fileshare share int buffersize fileoptions options securityattributes secattrs string msgpath boolean bfromproxy boolean uselongpath boolean checkhostem systemiofilestreamctorstring path filemode mode fileaccess access fileshare shareem squirrelutilityloadlocalreleasesstring localreleasefileem squirrelupdatemanagercheckforupdateimplcheckforupdatedmovenext checkforupdateimpl reading releases file cusersusernameappdatalocalsquirreltemp checkforupdateimpl first run local directory corrupt starting scratch applyreleasesimpl writing files app directory cusersusernameappdatalocalsourcetreeapp loghost rigging execution stub sourcetreeexecutionstubexe cusersusernameappdatalocalsourcetreesourcetreeexe applyreleasesimpl squirrel enabled apps cusersusernameappdatalocalsourcetreeappsourcetreeexe applyreleasesimpl starting fixpinnedexecutables applyreleasesimpl examining pin dbeaverlnk applyreleasesimpl examining pin file explorerlnk applyreleasesimpl examining pin google chromelnk applyreleasesimpl fixing tray icons applyreleasesimpl cleandeadversions version applyreleasesimpl cleandeadversions exclude folder app also found errors windows event viewer sorry portuguese errorsevent viewer error aplicativo sourcetreeexeverso framework vdescrio processo foi terminado devido uma exceo sem tratamentoinformaes da exceo systemmanagementmanagementexception em systemmanagementmanagementexceptionthrowwithextendedinfosystemmanagementmanagementstatus em systemmanagementmanagementobjectcollectionmanagementobjectenumeratormovenext em sourcetreeutilswindowsoshelpergetwindowsversion em sourcetreeappctor em sourcetreeappmain event viewer error nome aplicativo com falha sourcetreeexe verso carimbo de datahora xfnome mdulo com falha kernelbasedll verso carimbo de datahora xfcdcdigo de exceo xedeslocamento da falha xfid processo com falha xbhora de incio aplicativo com falha xddbeffbcaminho aplicativo com falha cusersllosscuritibaappdatalocalsourcetreeappsourcetreeexecaminho mdulo com falha cwindowssystemkernelbasedllid relatrio bbdefbaccefecnome completo pacote com falha id aplicativo relativo ao pacote com falha,bug,Low,Git,Needs Triage
windows environment minimizing program maximizing program cause page crash,page look like following figure imagepng,bug,Low,UX,Needs Triage
unable use sourcetree,getting error whenever try clone project,bug,Low,Git,Needs Triage
choosing resolve using mine asks confirm want resolve using,tried use sourcetree see compared tortoisegit first impression rather bad imagepngimagepng,bug,Low,Git,Needs Triage
v crashes clone dialog,new installation winpro workstations device enter repo path clone dialog pointing established git repo nas correctly identified git repo wait icon next advanced options begins spin seconds later enter sourcetree window disappearsi uninstalled installed worked expectedbtw downloaded today default windows release identified beta,bug,Low,General,Needs Triage
issues trtying authenticate,everytime open sourcetree force click settings click repo remotes click generic account click get rid exclamation remoteimagepngearlier week could resolve exclamation remote opened issue within community get solution advised open bug heres link details issue bug whats happening atlassiancom dropdown,bug,Low,Bitbucket,Needs Triage
issue local repositories tabs startup,hellowhen closed reopened sourcetree dont keep last tabs opened keep always tab close long time agoin addition dont keep new local repositories add manually local repositories hand time usefulimagepng close reopenimagepngit worked correctly beforethanks lot help,bug,Low,General,Needs Triage
graphics issues mousing interface,im experiencing multiple graphics issues mousing interface missing graphics distorted text etcim running windows pro uptodatemy graphics card geforce gtx tisourcetree also uptodate ver,bug,Low,General,Needs Triage
buttons getting disappeared hover commitpullfetchstash,application working properly buttons disappearing hover text font file suddenly increases,bug,Low,branch,Needs Triage
unable stage files trunks accented letters present code,accented letter like similar present code stage file fails errorcodejavagit apply failed code error searching formy codeerror patch failedpatch applycodeand following content lastfailedpatchtxt file codecdiff git aiolinkmanagementiolinkparametersmanagementc biolinkmanagementiolinkparametersmanagementc aiolinkmanagementiolinkparametersmanagementc biolinkmanagementiolinkparametersmanagementc parametriioliolrwprocessdatatype pdtmisure se il deviceid pari process data da inviare dovrebbero essere raggi e non le misure faulteepromcorrupted breakcode,bug,Low,Git,Needs Triage
sourcetree let push remote branch local branch,sourcetree let push remote branch local branch local branch behind want make current master,bug,Low,branch,Needs Triage
cannot login app start webpage,dear atlassiani work win without admin rights could find portable version sourcetree therefore successfully using years old sourcetree installed another device copied sure version know find without starting app initial dialog second step trying go attlassian usually since week related webpage work cannot loginimagepng,bug,Low,General,Needs Triage
track clean files doesnt work,dont know whats happen loose lots files project clean status unstage section sourcetree cant stage push repo move section means cant work bitbucket repo anymorethis also docs clean status nobody knows,bug,Low,Bitbucket,Needs Triage
text unreadable password edit dialog dark theme,navigate menu toolsoptionsselect tab general set dark themeselect tab authenticationselect item git saved passwordsclick editthe edit password dialog text button text unreadable,bug,Low,UX,Closed
commit button commit adding file,pending file contains new file commit button commit displays dialog immediately closes assume dialog tell whats wrong flashes fast cant see ithow find whats wrong,bug,Low,Git,Needs Triage
crash editing remote,far reproduceablewhen editing remote using edit button double clicking remote sourcetree crash,bug,Low,General,Needs Triage
stash keep staged changes keep changes,stash changes enable keep staged changes changes deleted anyway im using sourcetree windows version could select nonbeta version dropdown,bug,Low,Git,Needs Triage
sourcetree crashes,source tree crashes everytime open uninstalled installed many times,bug,Low,Git,Closed
sourcetree shipping outdated putty binaries,sourcetree shipping outdated putty binariesapptoolsputty pageantexe plinkexe puttygenexepageant release sourcetreeplink release sourcetreeputtygen release sourcetreenot sure sourcetree fixes get backported current putty version released sourcetree putty version released,bug,Low,General,Closed
move existing tag always fails error,several versions always unable move existing tag imagepng error failed push refshint updates rejected tag already exists remote always push removal tags fetch updates create,bug,Low,Git,Needs Triage
end program cloning empty remote repository,created new repo githubtheres files repo program ends try clone repo githubit ends without error message imagepng,bug,Low,remote,Needs Triage
open local repository drag drop work since,opening local git repository drag drop workas far checked works open new tab drag local git repository local repositories tree window mouse cursor turns disabled sign slashed circle empty area mouse cursor turns droppable sign folder effect drop,bug,Low,General,Needs Triage
cant install sourcetree v,installation config menu possible enter account bcs dead link attlassian website cant skip authorization page,bug,Low,General,Needs Triage
context menu options disappear font blurry,since days sourcetree ui blurry menu compared visual studio menuimagepngwidthheightbut main problem menu options context menus disappear hovering themimagepngimagepngwidthheightit looks like problem text scaling display scalingi selected display scaling windows diaply settings updating sourcetree complete reinstall didnt change anything windows h build sourcetree display scaling resolutions x x doesnt work,bug,Low,UX,Needs Triage
checksummed file size doesnt match update,inapp update update failed stating checksummed file size doesnt match cusersuserappdatalocalsourcetreepackagessourcetreefullnupkg,bug,Low,General,Closed
unable runreinstall sourcetree sourcetree stopped working,ran issue months ago version every time tried run sourcetree got popup saying sourcetree stopped working app would run uninstalled tried reinstalling even installer exe would work getting popup couldnt solve issue version came able reinstall run many months later issue version even though working month two ago tried thing uninstalled reinstalled newer version unable install popup way resolve issueimagepng,bug,Low,Bitbucket,Needs Triage
checksum error update,trying update checksum error popsimagepngwidthheight,bug,Low,UX,Closed
source tree windows v security vulnerability cve lognet,hi issue sourcetree uses lognet vulnerability cve solve vulnerabilitu order use sourcetree securilythank,bug,Low,General,Closed
crashcloning newly created gitlib project without branches files sourcetree crash,imagepng imagepng,bug,Low,General,Needs Triage
crashcloning newly created gitlib project without branches files sourcetree crash,imagepngimagepng,bug,Low,Git,Needs Triage
dictionary file blocks sourcetree starting,using sourcetree v every time start comfirn dialog pop said dictionary file invalid delete chose thentoday update sourcetree version app start upsomehow found solution uninstall version reinstall v start dictionary file thing dialog shows chose yes delete file install version starts normallyim sorry providing exact content confirm dialog since wont show remember dic file related office blablablaand sorry poor english sourcetree great app thank team,bug,Medium,na,Closed
identification,try pushpull constantly throw invalid login errorif go site browser log error sourcetree immediately disappearsi certainly teach seems work,bug,Low,Bitbucket,Needs Triage
context men files unresponsive lfs activated repository,lfs activated bitbucket repository file context menu sourctree becomes unresponsive slow takes several seconds context menu show also moving mouse cursor item item takes several seconds process log adding line git lfs version every menu item change context menu takes seconds imagepng,bug,Low,General,Needs Triage
resolve problem github oauth authentification,imagepng trying clone github repo freshclear installed windowsimagepngimagepng cancelling errorimagepng oauth account configured set default githubcom imagepngoauth token updated imagepng imagepng sourcetree resets oauth account default githubcom manually switching error cloning described upper imagepng imagepng,bug,Low,Askpass,Gathering Impact
gui glitch many buttons,software happened pc windows lasted update nvidia lasted update drivers installed luck think screen k dpiimagepngimagepngimagepng,bug,Low,General,Needs Triage
closing branch one commit create new commit,helloim roberto martignano atlassian consultant getconnected atlassian platinum partner based italyour customer problems bitbucket sourcetreewhen close branch one commit integrated develop branch instead creating new onein first moment working workaround set execute fastforward settings see pic sourcetree update working anymore rebase always executedi set affects version actually idea fix thisthank youroberto,bug,Low,Bitbucket,Needs Triage
sourcetree auto,hi im using bitbucket server v sourcetree v create project create repository bitbucket serverand clone source treethere times works times doesnt sourcetree auto offthere check git repository turns loadinghelp,bug,Low,General,Needs Triage
use virustotal find sourcetree trojan horse,hi allwe use virustotal find sourcetree trojan horse itcan see screenshot use virustotal detect find trojan horsecan anyone check imagepngwe download,bug,Low,Git,Needs Triage
maximized window taskbar,kinda annoying tbh,bug,Low,General,Needs Triage
remote option source tree working click windows source tree application crash,remote option source tree working clicking windows source tree application crashtest case click remote option select account time application responding error generates application crash immediately,bug,Low,Bitbucket,Needs Triage
force push fails silently,attempting force push branch cause push window respawn indefinitely rather trigger push commandpush force cliterminal affected terminal command used workaround power users less technical users unable perform actionwe observe following error logscodejava error sourcetreeviewmodelrepodialogcontainer log calling thread must sta many ui components require systeminvalidoperationexception calling thread must sta many ui components require systemwindowsinputinputmanagerctor systemwindowsinputinputmanagergetcurrentinputmanagerimpl systemwindowsinputkeyboardnavigationctor systemwindowsframeworkelementframeworkservicesctor systemwindowsframeworkelementensureframeworkservices systemwindowsframeworkelementctor systemwindowscontrolscontrolctor systemwindowswindowctor sourcetreeuithemewpfcontrolspermonitordpiwindowctor sourcetreeviewdialogsnotificationdialogwindowctorstring title string message object contentcontrol relaycommand contentcommand string contentcommandlabel string customactionlabel string customcancellabel boolean iserror relaycommand suppressioncommand vistataskdialogicon icon sourcetreenotificationsnotificationsmanagershownotificationdialogtstring title string message tuple customaction string cancellabel string suppressionsetting action suppressionchangedaction object contentcontrol string contentcommandlabel action contentaction sourcetreenotificationsnotificationsmanagershownotificationdialogtstring title string message string details tuple customaction string cancellabel string suppressionsetting action suppressionchangedaction sourcetreenotificationsnotificationsmanagershownotificationdialogtstring title string message string details tuple customaction string cancellabel sourcetreenotificationsnotificationsmanagershownotificationdialogwithyesconfirmationstring title string message string details sourcetreenotificationsnotificationsmanagershownotificationdialogwithyesconfirmationstring title string message sourcetreeviewmodelgitgitpushdialogviewmodelfinalisepush sourcetreeviewmodelgitgitpushdialogviewmodelsubmoduledialogcompletedabstractdialogviewmodel repodlg int returncode sourcetreeviewmodelabstractdialogviewmodelfinishint returncode sourcetreeviewmodelsubmodulecheckdialogviewmodelrefreshsubmodulesdmovenext end stack trace previous location exception thrown systemruntimeexceptionservicesexceptiondispatchinfothrow systemruntimecompilerservicestaskawaiterhandlenonsuccessanddebuggernotificationtask task systemruntimecompilerservicestaskawaitergetresultpre code,bug,Low,Git,Needs Triage
patchbased staging hunk line fails nonutf encoded files,working ansiencoded files contents containing german umlauts setting sourcetrees default encoding windows diffs shown correctly internal diff viewer however staging hunks lines involve umlauts fails git error patch applylooking localappdataatlassiansourcetreelastfailedpatchtxt found sourcetree converts diff ansi utf generate patch file ie umlauts shown correctly viewing patch file utfencoded git care encoding try apply utfencoded patch ansiencoded original file fails whenever patch contains characters representations differ ansi utfin opinion correct way fix bug would stop converting patch content whatever encoding utf git convert back original encoding trying apply quick test converted localappdataatlassiansourcetreelastfailedpatchtxt back ansi encoding executed git apply manually worked similar issue older version sourcetree reported srctreewin,bug,Low,Git,Needs Triage
application crashes silently opening local repository running without admin privliges,windows sourcetree net runtime call stack event viewerapplication sourcetreeexeframework version vdescription process terminated due unhandled exceptionexception info systemunauthorizedaccessexception systemioerrorwinioerrorint systemstring systemiodirectoryinternalcreatedirectorysystemstring systemstring systemobject boolean systemiodirectoryinternalcreatedirectoryhelpersystemstring boolean systemiofilehelpercreateandopentemporaryfilesystemstring byref systemiofileaccess systemiofileoptions systemstring systemstring systemwindowsinputcursorloadfromstreamsystemiostream systemwindowscontrolsgridviewcolumnheadergetcursorint systemwindowscontrolsgridviewcolumnheadergetsplitcursor systemwindowscontrolsgridviewcolumnheaderhookupgripperevents systemwindowsframeworkelementapplytemplate systemwindowsframeworkelementmeasurecoresystemwindowssize systemwindowsuielementmeasuresystemwindowssize systemwindowscontrolsgridviewheaderrowpresentermeasureoverridesystemwindowssize systemwindowsframeworkelementmeasurecoresystemwindowssize systemwindowsuielementmeasuresystemwindowssize msinternalhelpermeasureelementwithsinglechildsystemwindowsuielement systemwindowssize systemwindowscontrolsscrollcontentpresentermeasureoverridesystemwindowssize systemwindowsframeworkelementmeasurecoresystemwindowssize systemwindowsuielementmeasuresystemwindowssize systemwindowscontrolsgridmeasurecellint boolean systemwindowscontrolsgridmeasurecellsgroupint systemwindowssize boolean boolean boolean byref systemwindowscontrolsgridmeasureoverridesystemwindowssize systemwindowsframeworkelementmeasurecoresystemwindowssize systemwindowsuielementmeasuresystemwindowssize systemwindowscontrolsscrollviewermeasureoverridesystemwindowssize systemwindowsframeworkelementmeasurecoresystemwindowssize systemwindowsuielementmeasuresystemwindowssize systemwindowscontrolsdockpanelmeasureoverridesystemwindowssize systemwindowsframeworkelementmeasurecoresystemwindowssize systemwindowsuielementmeasuresystemwindowssize systemwindowscontrolsgridmeasurecellint boolean systemwindowscontrolsgridmeasurecellsgroupint systemwindowssize boolean boolean boolean byref systemwindowscontrolsgridmeasureoverridesystemwindowssize systemwindowsframeworkelementmeasurecoresystemwindowssize systemwindowsuielementmeasuresystemwindowssize systemwindowscontrolsscrollviewermeasureoverridesystemwindowssize systemwindowsframeworkelementmeasurecoresystemwindowssize systemwindowsuielementmeasuresystemwindowssize microsoftwindowsthemeslistboxchromemeasureoverridesystemwindowssize systemwindowsframeworkelementmeasurecoresystemwindowssize systemwindowsuielementmeasuresystemwindowssize systemwindowscontrolscontrolmeasureoverridesystemwindowssize systemwindowsframeworkelementmeasurecoresystemwindowssize systemwindowsuielementmeasuresystemwindowssize systemwindowscontrolsgridmeasurecellint boolean systemwindowscontrolsgridmeasurecellsgroupint systemwindowssize boolean boolean boolean byref systemwindowscontrolsgridmeasureoverridesystemwindowssize systemwindowsframeworkelementmeasurecoresystemwindowssize systemwindowsuielementmeasuresystemwindowssize msinternalhelpermeasureelementwithsinglechildsystemwindowsuielement systemwindowssize systemwindowscontrolscontentpresentermeasureoverridesystemwindowssize systemwindowsframeworkelementmeasurecoresystemwindowssize systemwindowsuielementmeasuresystemwindowssize systemwindowscontrolsbordermeasureoverridesystemwindowssize systemwindowsframeworkelementmeasurecoresystemwindowssize systemwindowsuielementmeasuresystemwindowssize systemwindowscontrolscontrolmeasureoverridesystemwindowssize systemwindowsframeworkelementmeasurecoresystemwindowssize systemwindowsuielementmeasuresystemwindowssize systemwindowscontrolsgridmeasureoverridesystemwindowssize systemwindowsframeworkelementmeasurecoresystemwindowssize systemwindowsuielementmeasuresystemwindowssize systemwindowscontrolsbordermeasureoverridesystemwindowssize systemwindowsframeworkelementmeasurecoresystemwindowssize systemwindowsuielementmeasuresystemwindowssize systemwindowscontrolsgridmeasurecellint boolean systemwindowscontrolsgridmeasurecellsgroupint systemwindowssize boolean boolean boolean byref systemwindowscontrolsgridmeasureoverridesystemwindowssize systemwindowsframeworkelementmeasurecoresystemwindowssize systemwindowsuielementmeasuresystemwindowssize systemwindowscontrolsgridmeasureoverridesystemwindowssize systemwindowsframeworkelementmeasurecoresystemwindowssize systemwindowsuielementmeasuresystemwindowssize msinternalhelpermeasureelementwithsinglechildsystemwindowsuielement systemwindowssize systemwindowscontrolscontentpresentermeasureoverridesystemwindowssize systemwindowsframeworkelementmeasurecoresystemwindowssize systemwindowsuielementmeasuresystemwindowssize systemwindowscontrolsbordermeasureoverridesystemwindowssize systemwindowsframeworkelementmeasurecoresystemwindowssize systemwindowsuielementmeasuresystemwindowssize systemwindowscontrolscontrolmeasureoverridesystemwindowssize systemwindowsframeworkelementmeasurecoresystemwindowssize systemwindowsuielementmeasuresystemwindowssize systemwindowscontrolsgridmeasurecellint boolean systemwindowscontrolsgridmeasurecellsgroupint systemwindowssize boolean boolean boolean byref systemwindowscontrolsgridmeasureoverridesystemwindowssize systemwindowsframeworkelementmeasurecoresystemwindowssize systemwindowsuielementmeasuresystemwindowssize msinternalhelpermeasureelementwithsinglechildsystemwindowsuielement systemwindowssize systemwindowscontrolscontentpresentermeasureoverridesystemwindowssize systemwindowsframeworkelementmeasurecoresystemwindowssize systemwindowsuielementmeasuresystemwindowssize systemwindowscontrolsgridmeasureoverridesystemwindowssize systemwindowsframeworkelementmeasurecoresystemwindowssize systemwindowsuielementmeasuresystemwindowssize systemwindowscontrolsbordermeasureoverridesystemwindowssize systemwindowsframeworkelementmeasurecoresystemwindowssize systemwindowsuielementmeasuresystemwindowssize systemwindowscontrolsgridmeasurecellint boolean systemwindowscontrolsgridmeasurecellsgroupint systemwindowssize boolean boolean boolean byref systemwindowscontrolsgridmeasureoverridesystemwindowssize systemwindowsframeworkelementmeasurecoresystemwindowssize systemwindowsuielementmeasuresystemwindowssize systemwindowscontextlayoutmanagerupdatelayout systemwindowscontextlayoutmanagerupdatelayoutcallbacksystemobject systemwindowsmediamediacontextfireinvokeonrendercallbacks systemwindowsmediamediacontextrendermessagehandlercoresystemobject systemwindowsmediamediacontextrendermessagehandlersystemobject systemwindowsthreadingexceptionwrapperinternalrealcallsystemdelegate systemobject int systemwindowsthreadingexceptionwrappertrycatchwhensystemobject systemdelegate systemobject int systemdelegate systemwindowsthreadingdispatcheroperationinvokeimpl msinternalculturepreservingexecutioncontextcallbackwrappersystemobject systemthreadingexecutioncontextruninternalsystemthreadingexecutioncontext systemthreadingcontextcallback systemobject boolean systemthreadingexecutioncontextrunsystemthreadingexecutioncontext systemthreadingcontextcallback systemobject boolean systemthreadingexecutioncontextrunsystemthreadingexecutioncontext systemthreadingcontextcallback systemobject msinternalculturepreservingexecutioncontextrunmsinternalculturepreservingexecutioncontext systemthreadingcontextcallback systemobject systemwindowsthreadingdispatcheroperationinvoke systemwindowsthreadingdispatcherprocessqueue systemwindowsthreadingdispatcherwndprochookintptr int intptr intptr boolean byref mswinhwndwrapperwndprocintptr int intptr intptr boolean byref mswinhwndsubclassdispatchercallbackoperationsystemobject systemwindowsthreadingexceptionwrapperinternalrealcallsystemdelegate systemobject int systemwindowsthreadingexceptionwrappertrycatchwhensystemobject systemdelegate systemobject int systemdelegate systemwindowsthreadingdispatcherlegacyinvokeimplsystemwindowsthreadingdispatcherpriority systemtimespan systemdelegate systemobject int mswinhwndsubclasssubclasswndprocintptr int intptr intptr mswinunsafenativemethodsdispatchmessagesystemwindowsinteropmsg byref systemwindowsthreadingdispatcherpushframeimplsystemwindowsthreadingdispatcherframe systemwindowsapplicationrundispatchersystemobject systemwindowsapplicationruninternalsystemwindowswindow sourcetreeappmain application errorfaulting application name sourcetreeexe version time stamp xaefaulting module name kernelbasedll version time stamp xfcdbexception code xefault offset xbfaulting process id xcbfaulting application start time xdeaedfaulting application path cusersmyusernameappdatalocalsourcetreeappsourcetreeexefaulting module path cwindowssystemkernelbasedllreport id ecadfadefedcfaulting package full name faulting packagerelative application idfault bucket type event name clrrresponse availablecab id problem signaturep sourcetreeexep p aep mscorlibp p eedp p fp systemunauthorizedaccessp,bug,Low,Bitbucket,Needs Triage
sourcetree offer branches pushing,make commit pushed bitbucket ok next day try check last commit bitbucket found commit opened sourcetree commit displayed probably local comit tried push sourcetree offer branches pushing screenshot write command terminal git push setupstream origin myownrotmayerbranch screenshot commit appeared bitbucket,bug,Low,Bitbucket,Needs Triage
latest v pull remote tags,v see remote tags get pulled,bug,Low,General,Needs Triage
git log failed,cant seem use sourcetree established local repos get imagepngthe file course exists whats listed root local repo sure look error details,bug,Low,Git,Needs Triage
try clone repo sourcetree crashed closed,try clone one repository bitbucket server sourcetree detect repo program crashed closed without error notification try co clone second one worked well see verion released downloaded directly form websites biggest button download sourcetree think also error,bug,Low,Bitbucket,Needs Triage
unable merge gui merge source branch name contains,summary followsthe problem occurs local branch name set unittestuserlistbwhen branch name processed sourcetree seems recognized unittestuserlist run gui get error message merge originunittestuserlist something mergethe symptoms arecodejava git merge originunittestuserlistcodethe symptom run result im hoping run following commandcodejava git merge originunittestuserlistbcodeos name windows proos version os build version sourcetree version git version windowsthank,bug,Low,General,Needs Triage
amend commit replace commit text dialog bug,replace commit text dialog says codejavareplace commit text xdo want replace commit text message previous commityes nocode however press order preserve new message amend altogether abortedthe way amend previous commit select yes unrelated question turn deletes new message forces write ctrlz worksee gif recording,bug,Low,Git,Needs Triage
commit message window resets,steps reproduce merge branchb brancha conflicts change commit message click around watch message reset default merge branch see recording,bug,Low,Git,Needs Triage
cant push github access token changed,updated security token requested github could push changes attempt push sourcetree prompts username password ive entered username access token fails following message ive tried password toogit c diffmnemonicprefixfalse c corequotepathfalse nooptionallocks push v tags setupstream origin mastermasterlogon failed use ctrlc cancel basic credential promptcompleted errors see aboveive contact github support trying things like cleaning password windows credential manager appears issue sourcetreeany suggestionsthankssteve,bug,Low,Git,Needs Triage
update putty,still cant update putty tools days hard replace files,bug,Low,General,Needs Triage
setting git account sourcetree getting unix socket support pulling branch code,setting git account sourcetree getting errorgit c diffmnemonicprefixfalse c corequotepathfalse nooptionallocks fetch notags originfatal credentialcache unavailable unix socket supportfatal credentialcache unavailable unix socket supportremote invalid username passwordfatal authentication failed credentialcache unavailable unix socket support,bug,Low,Git,Needs Triage
support multiple ssh keys,sourcetree requires one one ssh key configured us use multiple external system eg githubcom gitlabcom self hosted sever etc typical security practice use different ssh keys system anyone key compromised one system potentially affected openssh supports quite easily setting config use different ssh keys based host eg host gitlabcom hostname gitlabcom identityfile sshidrsagitlabhost githubcom hostname githubcom identityfile sshidrsagithub works git command line sourcetree,bug,Low,Git,Needs Triage
ssh passphrase times,using ssh key passphrase sourcetree open long time eg day ssh key initially held open point appears timeout try push hooks run push hangs eventually times doesnt prompt ssh passphrase clearly state thats problemto workaround push appears taking long cancel push open close options reprompts ssh passphrase repush,bug,Low,Git,Needs Triage
files deleted performing update multiple files,using sourcetree git framemaker files binary files framemaker desktop publishing software technical writers book file groups multiple individual framemaker files together represents chapter book framemaker function change attribute chapters book changing conditions chapters updating page numbering chapters clearing change bars chapters performing group actions chapter opened quickly changed saved process get error message one chapters could saved look file status sourcetree shows removeddeleted file unstaged files section discard deletiong redo group action redo group action different file get deleted againthis specific laptop writers group happens usthis appear specific either sourcetree git started happening started using sourcetree git files previously subversion never issueif move book chapters outside git directorysourcetree group action works fine updated latest version sourcetree noticed release notes fix issue sort sounded like might something fixed staging modified files paths longer characters stages file removed updating resolve problem also checked file paths none longer characters,bug,Low,General,Needs Triage
add repository path doesnt normalize slashes making open explorer work,new repository tab added add repository option using path duplicated slashes like onecmyfoldermyrepothe repository added expected open explorer button fail open right folder open default fileexplorer pathit common find paths duplicated slashes thats stored json files windows usually able normalize slashes make things worknormalizing removing duplicated slashes exceptions like unc paths begining pathservernamemysharedfoldermyreposourcetree able open explorer case functionality might normalization problems operate repo path,bug,Low,General,Needs Triage
modal dialog gets stuck behind main window making program unusable,modal dialog asking want download gitlfs files got stuck behind main sourcetree window unfortunately dialog modal prevented resizing main window prevented minimizing prevented using windows key arrow keys shortcuts prevented closing program upperright hand corner x buttonaffects latest version workaround screens extend displays mode changed duplicate displays dialog reappeared main sourcetree window able resolve problem dont happen monitors extend mode problem happens youre screwed,bug,Low,General,Needs Triage
jump commit commit id doesnt work uppercase commit ids,jump commit commit id doesnt work uppercase commit ids jumping specific commit sourcetree copy commit id tool automated process provides upper case sourcetree find commit sourcetree able jump commit id regardless casing,bug,Low,General,Needs Triage
sourcetree start beyond splash screen,im problem cant seem get sourcetree start beyond blue splashscreenbanner seconds splashscreen disappears program startedos windows sourcetree shown appwhen sourcetree started splashscreen shownafter sourcetree show task manager processes services app historyi tried uninstalling deleting localappdata folders even searched deleted registry keys also restarting uninstallinginstallingi tried installing via exe msi installers localappdata program files xi used sourcetree several years need work help would greatly appriciated,bug,Low,General,Needs Triage
gitflow supported,seems recurring issue source tree without proper resolutionimagepngas already later git version machine imagepng,bug,Low,Bitbucket,Needs Triage
git lfs working file locking option set,repo git lfs enabled file types file locking option disabled large files added index issues file locking option enabled files larger mb cannot added index since get error popup prompting track files lfs fact file extension already trackedsteps reproduce create empty git repo git lfs install add commit following gitattributes filecolorddduasset colorcolorcdfiltercolorcolordddlfs colorcolorcddiffcolorcolordddlfs colorcolorcdmergecolorcolordddlfs text lockablecolor add uasset file larger mb index get following errorimagepng,bug,Low,Git,Needs Triage
sourcetree settingspreferences saved,im using sourcetree settingsoptions reflect next open example theme preference ssh configuration toolsoptions previously opened repositories either saved reflect open next time closing sourcetree checked version says updatetodate settings couldnt find articlehelp around,bug,Low,General,Needs Triage
make sourcetree reference inrepo iconpng way allows deleting file,sourcetree feature search repository root file named iconpng exist use icon sourcetree uithis great feature enjoy use however sourcetree windows app keeps hard reference iconpng file prevents user git delete becomes problem user wants checkout another branch iconpng doesnt exist file still pending change user wont able remove unless closing sourcetree first intuitivetrying discard change added iconpng sourcetree fail remove itwindows file explorer alert user file cannot removed sourcetree running maybe sourcetree could make copy repos iconpng reference copy doesnt block original image strategy allow image removal,bug,Low,General,Needs Triage
spaces tabs diff views displayed wrong position,optionsdiff convert tabs space unset show whitespace characters settab characters space characters displayed incorrectly please note actual diff text indentations unaffected displayed correct indentation levelimagepng,bug,Low,UX,Needs Triage
